,calibName,chamber,splitDriftTime,diffJointPoint,para_smallRt,residual_smallRt,ndf_smallRt,para_largeRt,residual_largeRt,ndf_largeRt,para_res,residual_res,ndf_res
0,BEE_1_-1,BEE1C02,98.46564376250834,0.0005097331734580379,"[0.04641137211816796, 0.07003780878217904]",[0.01773728],14,"[-5.635492049175985e-11, 1.1806415176889366e-07, -9.730773784306144e-05, 0.04886825121396745, 0.6646598385836848]",[0.02584899],87,"[0.009309617147272093, -0.40905983591204315, 6.99468028874082, -55.80165565801746, 240.02565308413241]",[7.41902617],100
1,BEE_1_-2,BEE2C02,98.46564376250834,-0.0001140265505510385,"[0.046417424407235085, 0.0698394648554808]",[0.01739127],14,"[-5.669950790605226e-11, 1.1864074095974281e-07, -9.766095036010826e-05, 0.04897355942065221, 0.6569709415614265]",[0.02589375],87,"[0.009364510330087665, -0.4109347651894052, 7.0156957745552715, -55.879447954926825, 240.03197318830885]",[7.4330729],100
2,BEE_1_1,BEE1A02,98.76584389593062,0.00014365529296078705,"[0.04637318011484031, 0.07133673477627188]",[0.01996971],14,"[-5.440798012788729e-11, 1.1479582333034715e-07, -9.530018371668721e-05, 0.048267989866434845, 0.7085411921469634]",[0.02566448],87,"[0.009664697222926339, -0.42114794088138224, 7.131159321694062, -56.34292999718066, 240.38131412441004]",[6.77834106],100
3,BEE_1_2,BEE2A02,98.66577718478986,-0.0001597865168543322,"[0.0463900785833532, 0.07076611788672947]",[0.01891252],14,"[-5.5277066309773473e-11, 1.1625821479372295e-07, -9.620063451108454e-05, 0.048537798731425136, 0.6887787899887448]",[0.02574718],87,"[0.009633426130063363, -0.42021125036296225, 7.122391196838493, -56.316521743345916, 240.36035501236975]",[7.52337766],100
4,BEE_2_-1,BEE1C04,98.46564376250834,0.0005210616077873098,"[0.04641128573572565, 0.07004449454611852]",[0.01775218],14,"[-5.6348563374887245e-11, 1.1805376008159034e-07, -9.730147457789677e-05, 0.04886635437007403, 0.6648047187217677]",[0.0258391],87,"[0.009308192473226945, -0.4090114139150135, 6.994137660863578, -55.79959763518991, 240.0250451148072]",[7.42034075],100
5,BEE_2_-2,BEE2C04,98.56571047364909,-3.1690352499502694e-05,"[0.04640293467416108, 0.07030871841835988]",[0.01823385],14,"[-5.590744181166527e-11, 1.1731515484505377e-07, -9.684904375566071e-05, 0.048731363982148244, 0.6746190351339708]",[0.02580911],87,"[0.009414890784716632, -0.41269213571996904, 7.03629686675102, -55.96880014064865, 240.13050821618646]",[7.99606037],100
6,BEE_2_1,BEE1A04,98.66577718478986,4.952708719851984e-05,"[0.04638791939085353, 0.07082660892281946]",[0.01907408],14,"[-5.515586389934673e-11, 1.1605484779061954e-07, -9.6075709555225e-05, 0.04850037312229325, 0.6914958954285436]",[0.02572829],87,"[0.009612803562809158, -0.41950756794528477, 7.114502944455426, -56.2871549540591, 240.35653608269627]",[7.49419513],100
7,BEE_2_2,BEE2A04,98.46564376250834,-5.357456604038191e-05,"[0.04641680985357273, 0.0698690701765726]",[0.01743014],14,"[-5.6665058869305716e-11, 1.1858266343806148e-07, -9.76248482597851e-05, 0.048962575081421794, 0.6577842458691993]",[0.02589165],87,"[0.009359035270865824, -0.4107478232629566, 7.013608277120766, -55.8718660836815, 240.03231947654413]",[7.43126091],100
8,BEE_3_-1,BEE1C06,98.66577718478986,5.2088485126944306e-05,"[0.046388014185115595, 0.07082584845847785]",[0.01911027],14,"[-5.5138832957534474e-11, 1.1602679247565574e-07, -9.605872425883809e-05, 0.048495226501259384, 0.6918748271746582]",[0.02572295],87,"[0.00960910733028101, -0.4193812267490572, 7.113077623606151, -56.281708999837534, 240.35494573598606]",[7.49350365],100
9,BEE_3_-2,BEE2C06,98.56571047364909,-0.0004565450102269608,"[0.04640730903228921, 0.07018285714285746]",[0.01799579],14,"[-5.613453468197654e-11, 1.1769552358324406e-07, -9.708170340234718e-05, 0.04880050443612497, 0.6696021363678956]",[0.02582131],87,"[0.009306215716409934, -0.4091129820472684, 6.997775280336917, -55.82916439335544, 240.0783438785295]",[7.54407918],100
